=== News Filter Log ===

取得件数: 30 件
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] CreativeのBluetoothスピーカーを使ってPCに触れることなく攻撃するエクスプロイト「Pwnd Blaster」が発見される (https://gigazine.net/news/20260604-creative-pwnd-blaster/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] OpenAIが「最先端AIは規制が必要」と提言、高性能AIを規制するための政策案を自ら公開 (https://gigazine.net/news/20260604-openai-frontier-safety-blueprint/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] GitLabが従業員の14％にあたる約350人を解雇して22カ国から撤退すると発表 (https://gigazine.net/news/20260604-gitlab-cut-14-workforce-ai-workloads/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] Google検索の「AIによる概要」から自サイトを消す機能がGoogle Search Consoleに登場 (https://gigazine.net/news/20260604-google-allow-websites-exclude-ai-search-results/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] AIが抗肥満薬の未知の副作用を発見できる可能性、SNS上の患者報告を分析 (https://gigazine.net/news/20260604-hidden-side-effects/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] Let’s Encryptが量子コンピューター時代に向けて「マークルツリー証明書」を採用する計画を発表、量子耐性暗号による通信量増加を抑制する仕組み (https://gigazine.net/news/20260604-lets-encrypt-merkle-tree/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] ウェブサーバーを数秒以内にダウンさせる「HTTP/2 Bomb」攻撃がOpenAIのCodexを使って発見される (https://gigazine.net/news/20260604-http-2-bomb-attack/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] 使い込むほど成長するAIエージェント「Hermes Agent」の公式デスクトップアプリ「Hermes Desktop」が登場 (https://gigazine.net/news/20260604-hermes-desktop-agent-ai/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] Googleがデータセンターによる水不足問題を解消するための取り組みについて公開 (https://gigazine.net/news/20260604-google-water-stewardship/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] Googleが「細菌に感染した6400万匹の蚊」をアメリカで放とうとしている理由とは？ (https://gigazine.net/news/20260604-google-wants-release-64-million-mosquitoes/)
[ERROR: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}] NVIDIAはWindowsノートPC向けSoCの第2世代・第3世代をすでに計画中、ジェンスン・フアンCEOは将来的にR2-D2のようなロボットの開発を目指す (https://gigazine.net/news/20260604-nvidia-n2x-n3x-plan/)
